away_score,home_score,away_team,home_team,match_date,match_id,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,team,player,event,outcome,period_value,period_name,qual_Zone,qual_PassEndX,qual_PassEndY,qual_Length,qual_Angle,qual_Longball,qual_ThrowIn,qual_HeadPass,qual_OppositeRelatedEvent,qual_Offensive,qual_Defensive,qual_KeeperThrow,qual_Chipped,qual_Foul,qual_FreekickTaken,qual_Cross,qual_RightFoot,qual_Head,qual_MissLeft,qual_CornerTaken,qual_OverRun,qual_StandingSave,qual_LayOff,qual_GoalKick,qual_Throughball,qual_IntentionalAssist,qual_ShotAssist,qual_BigChanceCreated,qual_KeyPass,qual_BoxCentre,qual_RegularPlay,qual_Assisted,qual_RelatedEventId,qual_LowCentre,qual_OneOnOne,qual_GoalMouthY,qual_GoalMouthZ,qual_BlockedX,qual_BlockedY,qual_BigChance,qual_OtherBodyPart,qual_ParriedSafe,qual_KeeperSaveInTheBox,qual_LowLeft,qual_Blocked,qual_Volley,qual_FirstTouch,qual_OutfielderBlock,qual_PlayerCaughtOffside,qual_IndirectFreekickTaken,qual_FastBreak,qual_BoxLeft,qual_LeftFoot,qual_Collected,qual_Hands,qual_SetPiece,qual_Yellow,qual_DivingSave,qual_OutOfBoxCentre,qual_DirectFreekick,qual_MissHigh,qual_IndividualPlay,qual_InvolvedPlayers,qual_PlayerPosition,qual_JerseyNumber,qual_TeamFormation,qual_TeamPlayerFormation,qual_CaptainPlayerId,qual_IntentionalGoalAssist,qual_LeadingToGoal,qual_BoxRight,qual_FormationSlot,qual_LastMan,qual_ThrowinSetPiece,qual_FromCorner,qual_SixYardBlock,qual_BlockedCross,qual_MissRight,qual_HighClaim,qual_SmallBoxCentre,qual_KeeperSaveInSixYard,qual_HighCentre,qual_ParriedDanger
1,2,Canada,Switzerland,2026-06-24,1953858,2945364137.0,246,27,26.0,423,80.0,77.1,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '168'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[197, 199]",False,381550.0,,,,,,,,,,,,Switzerland,Rubén Vargas,Aerial,Successful,1,FirstHalf,Center,False,False,False,False,False,False,False,168,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,Canada,Switzerland,2026-06-24,1953858,2945364141.0,247,27,26.0,423,80.0,77.1,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '86.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.23'}]","[91, 120, 29, 139, 36, 38, 217, 218]",True,381550.0,86.9,58.2,,,,,,,,,,Switzerland,Rubén Vargas,Pass,Unsuccessful,1,FirstHalf,Center,86.9,58.2,14.8,5.23,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,Canada,Switzerland,2026-06-24,1953858,2945364147.0,169,27,29.0,1160,11.2,41.9,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '5.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '20.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.30'}]","[91, 117, 30, 139, 35, 38, 215, 218]",True,371029.0,5.1,20.3,,,,,,,,,,Canada,Derek Cornelius,Pass,Successful,1,FirstHalf,Back,5.1,20.3,16.0,4.30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,Canada,Switzerland,2026-06-24,1953858,2945364151.0,170,27,31.0,1160,4.9,20.3,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 12, 'displayName': 'Clearance'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.64'}]","[91, 94, 95, 215]",True,397859.0,24.0,0.0,,,,,,,,,,Canada,Alistair Johnston,Clearance,Successful,1,FirstHalf,Back,24.0,0.0,25.0,5.64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,Canada,Switzerland,2026-06-24,1953858,2945364163.0,249,27,42.0,423,70.1,100.0,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '58.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.57'}]","[91, 212, 35, 38, 216]",True,61610.0,58.6,93.7,,,,,,,,,,Switzerland,Ricardo Rodríguez,Pass,Successful,1,FirstHalf,Left,58.6,93.7,13.3,3.57,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,Canada,Switzerland,2026-06-24,1953858,2945364167.0,250,27,43.0,423,58.6,93.7,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.13'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,89401.0,66.0,91.9,,,,,,,,,,Switzerland,Granit Xhaka,Pass,Successful,1,FirstHalf,Left,66.0,91.9,7.9,6.13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,Canada,Switzerland,2026-06-24,1953858,2945364305.0,275,27,44.0,423,53.6,83.2,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 61, 'displayName': 'BallTouch'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 69]",True,302691.0,,,,,,,,,,,,Switzerland,Remo Freuler,BallTouch,Unsuccessful,1,FirstHalf,Left,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,Canada,Switzerland,2026-06-24,1953858,2945364169.0,173,27,45.0,1160,41.4,21.4,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",[],[93],False,445119.0,,,,,,,,,,,,Canada,Nathan Saliba,BallRecovery,Successful,1,FirstHalf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,Canada,Switzerland,2026-06-24,1953858,2945364171.0,174,27,46.0,1160,44.3,22.7,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '30.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.57'}]","[91, 117, 30, 37, 216, 218]",True,445119.0,44.3,30.1,,,,,,,,,,Canada,Nathan Saliba,Pass,Successful,1,FirstHalf,Back,44.3,30.1,5.0,1.57,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,Canada,Switzerland,2026-06-24,1953858,2945364175.0,175,27,47.0,1160,47.4,29.9,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '9.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.69'}]","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,383855.0,67.1,9.4,,,,,,,,,,Canada,Jonathan David,Pass,Successful,1,FirstHalf,Right,67.1,9.4,24.9,5.69,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
