away_score,home_score,away_team,home_team,match_date,match_id,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,team,player,event,outcome,period_value,period_name,qual_Zone,qual_PassEndX,qual_PassEndY,qual_Length,qual_Angle,qual_LayOff,qual_Longball,qual_Chipped,qual_HeadPass,qual_OppositeRelatedEvent,qual_Offensive,qual_StandingSave,qual_Defensive,qual_ThrowIn,qual_Throughball,qual_GoalKick,qual_Foul,qual_FreekickTaken,qual_Cross,qual_RightFoot,qual_Head,qual_PlayerCaughtOffside,qual_IndirectFreekickTaken,qual_MissLeft,qual_MissRight,qual_CornerTaken,qual_FromCorner,qual_IntentionalAssist,qual_ShotAssist,qual_BigChanceCreated,qual_IntentionalGoalAssist,qual_KeyPass,qual_BoxCentre,qual_Assisted,qual_RelatedEventId,qual_LowRight,qual_GoalMouthY,qual_GoalMouthZ,qual_BigChance,qual_FirstTouch,qual_Penalty,qual_LeftFoot,qual_BlockedX,qual_BlockedY,qual_DivingSave,qual_KeeperSaved,qual_ParriedSafe,qual_Hands,qual_KeeperSaveInTheBox,qual_RegularPlay,qual_LowLeft,qual_ParriedDanger,qual_OutOfBoxCentre,qual_LowCentre,qual_Blocked,qual_IndividualPlay,qual_OutfielderBlock,qual_KeeperThrow,qual_DirectFreekick,qual_MissHigh,qual_LeadingToAttempt,qual_HighRight,qual_HighLeft,qual_HighClaim,qual_PlayerPosition,qual_JerseyNumber,qual_FormationSlot,qual_InvolvedPlayers,qual_TeamFormation,qual_TeamPlayerFormation,qual_CaptainPlayerId,qual_Collected,qual_KeeperSaveObox,qual_SetPiece,qual_OverRun,qual_SmallBoxLeft,qual_FastBreak,qual_Volley,qual_ThrowinSetPiece,qual_DeepBoxLeft,qual_BlockedCross,qual_SmallBoxRight,qual_HighCentre,qual_Yellow
2,3,Egypt,Argentina,2026-07-07,1998571,2946529563.0,7,0,11.0,346,29.6,31.6,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '34.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.22'}]","[91, 117, 30, 36, 37, 216, 218]",True,323663.0,36.5,34.0,,,,,,,,,,Argentina,Cristian Romero,Pass,Successful,1,FirstHalf,Back,36.5,34.0,7.4,0.22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3,Egypt,Argentina,2026-07-07,1998571,2946529565.0,8,0,12.0,346,36.5,34.5,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '12.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.5'}, {'type': {'value': 156, 'displayName': 'LayOff'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.80'}]","[91, 117, 30, 35, 37, 215, 218]",True,125547.0,12.5,47.5,,,,,,,,,,Argentina,Rodrigo De Paul,Pass,Successful,1,FirstHalf,Back,12.5,47.5,26.7,2.80,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3,Egypt,Argentina,2026-07-07,1998571,2946529569.0,9,0,16.0,346,11.3,50.2,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '19.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '75.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.10'}]","[91, 117, 30, 36, 37, 215, 218]",True,102248.0,19.7,75.4,,,,,,,,,,Argentina,Emiliano Martínez,Pass,Successful,1,FirstHalf,Back,19.7,75.4,19.3,1.10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3,Egypt,Argentina,2026-07-07,1998571,2946529573.0,10,0,21.0,346,31.6,93.0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '64.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.5'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '34.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.27'}]","[91, 119, 117, 124, 127, 36, 38, 216, 218]",True,340105.0,64.1,92.5,,,,,,,,,,Argentina,Lisandro Martínez,Pass,Successful,1,FirstHalf,Left,64.1,92.5,34.1,6.27,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3,Egypt,Argentina,2026-07-07,1998571,2946529575.0,11,0,24.0,346,64.1,92.5,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '2.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.10'}]","[91, 120, 29, 139, 36, 38, 216, 218]",True,369430.0,66.2,91.9,,,,,,,,,,Argentina,Enzo Fernández,Pass,Unsuccessful,1,FirstHalf,Left,66.2,91.9,2.2,6.10,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3,Egypt,Argentina,2026-07-07,1998571,2946529571.0,3,0,25.0,944,38.0,21.8,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",[],[93],False,450471.0,,,,,,,,,,,,Egypt,Mohamed Hany,BallRecovery,Successful,1,FirstHalf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3,Egypt,Argentina,2026-07-07,1998571,2946529577.0,4,0,27.0,944,37.6,16.1,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 3, 'displayName': 'TakeOn'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '12'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 53]",True,450471.0,,,,,,,,,,,,Egypt,Mohamed Hany,TakeOn,Unsuccessful,1,FirstHalf,Back,False,False,False,False,False,False,False,False,12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3,Egypt,Argentina,2026-07-07,1998571,2946529579.0,12,0,27.0,346,62.4,83.9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 7, 'displayName': 'Tackle'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 143]",True,369430.0,,,,,,,,,,,,Argentina,Enzo Fernández,Tackle,Successful,1,FirstHalf,Left,False,False,False,False,False,False,False,False,4,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3,Egypt,Argentina,2026-07-07,1998571,2946529581.0,13,0,29.0,346,73.8,90.0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",[],[93],False,365409.0,,,,,,,,,,,,Argentina,Julián Alvarez,BallRecovery,Successful,1,FirstHalf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3,Egypt,Argentina,2026-07-07,1998571,2946529583.0,14,0,31.0,346,73.6,88.6,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.88'}]","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,365409.0,68.0,80.8,,,,,,,,,,Argentina,Julián Alvarez,Pass,Successful,1,FirstHalf,Left,68.0,80.8,7.9,3.88,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
