away_score,home_score,away_team,home_team,match_date,match_id,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,team,player,event,outcome,period_value,period_name,qual_Zone,qual_PassEndX,qual_PassEndY,qual_Length,qual_Angle,qual_LayOff,qual_Chipped,qual_HeadPass,qual_Longball,qual_GoalKick,qual_OppositeRelatedEvent,qual_Offensive,qual_StandingSave,qual_Defensive,qual_Foul,qual_FreekickTaken,qual_ThrowIn,qual_LeadingToAttempt,qual_OutOfBoxCentre,qual_RegularPlay,qual_LeftFoot,qual_LowCentre,qual_GoalMouthY,qual_GoalMouthZ,qual_BlockedX,qual_BlockedY,qual_IndividualPlay,qual_Collected,qual_DivingSave,qual_Hands,qual_KeeperSaveObox,qual_KeeperThrow,qual_Cross,qual_RightFoot,qual_Head,qual_ShotAssist,qual_KeyPass,qual_Assisted,qual_RelatedEventId,qual_BoxRight,qual_MissHigh,qual_Throughball,qual_IntentionalAssist,qual_BigChanceCreated,qual_BoxCentre,qual_FastBreak,qual_OneOnOne,qual_BigChance,qual_FirstTouch,qual_MissLeft,qual_CornerTaken,qual_FromCorner,qual_LowLeft,qual_Blocked,qual_Volley,qual_OutfielderBlock,qual_ParriedSafe,qual_KeeperSaveInTheBox,qual_MissRight,qual_HighRight,qual_ParriedDanger,qual_BoxLeft,qual_LowRight,qual_PlayerCaughtOffside,qual_IndirectFreekickTaken,qual_SetPiece,qual_LastMan,qual_BlockedCross,qual_SmallBoxLeft,qual_KeeperSaveInSixYard,qual_HighClaim,qual_PlayerPosition,qual_JerseyNumber,qual_FormationSlot,qual_DeepBoxRight,qual_OverRun,qual_DirectFreekick,qual_OutOfBoxDeepRight,qual_HighCentre,qual_Yellow,qual_IntentionalGoalAssist,qual_InvolvedPlayers,qual_TeamFormation,qual_TeamPlayerFormation,qual_CaptainPlayerId
1,0,Spain,Portugal,2026-07-06,1998192,2946477867.0,269,34,31.0,340,6.4,54.6,34,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '8.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '72.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.43'}]","[91, 117, 30, 36, 37, 215, 218]",True,373842.0,8.1,72.8,,,,,,,,,,Portugal,Diogo Costa,Pass,Successful,1,FirstHalf,Back,8.1,72.8,12.5,1.43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Spain,Portugal,2026-07-06,1998192,2946477871.0,270,34,38.0,340,2.8,99.1,34,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.05'}]","[91, 118, 120, 128, 36, 37, 215, 218]",True,434077.0,30.0,100.0,,,,,,,,,,Portugal,Renato Veiga,Pass,Unsuccessful,1,FirstHalf,Back,30.0,100.0,28.6,0.05,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Spain,Portugal,2026-07-06,1998192,2946477883.0,324,34,43.0,338,70.1,0.0,34,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '56.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '5.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.82'}]","[91, 212, 35, 37, 216]",True,362352.0,56.1,5.8,,,,,,,,,,Spain,Pedro Porro,Pass,Successful,1,FirstHalf,Right,56.1,5.8,15.5,2.82,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Spain,Portugal,2026-07-06,1998192,2946477887.0,325,34,46.0,338,56.5,6.5,34,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '56.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '25.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.58'}]","[91, 119, 117, 30, 35, 37, 216, 218]",True,498386.0,56.4,25.1,,,,,,,,,,Spain,Pau Cubarsí,Pass,Successful,1,FirstHalf,Center,56.4,25.1,12.6,1.58,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Spain,Portugal,2026-07-06,1998192,2946477897.0,326,34,48.0,338,56.8,26.6,34,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '59.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.22'}]","[91, 119, 117, 30, 36, 37, 216, 218]",True,303139.0,59.7,38.9,,,,,,,,,,Spain,Rodri,Pass,Successful,1,FirstHalf,Center,59.7,38.9,8.9,1.22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Spain,Portugal,2026-07-06,1998192,2946477907.0,327,34,51.0,338,54.2,30.5,34,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.73'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,402197.0,54.4,13.7,,,,,,,,,,Spain,Pedri,Pass,Successful,1,FirstHalf,Right,54.4,13.7,11.4,4.73,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Spain,Portugal,2026-07-06,1998192,2946477909.0,328,34,56.0,338,55.1,12.1,34,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.33'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,498386.0,57.6,6.7,,,,,,,,,,Spain,Pau Cubarsí,Pass,Successful,1,FirstHalf,Right,57.6,6.7,4.5,5.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Spain,Portugal,2026-07-06,1998192,2946477911.0,329,34,57.0,338,57.4,6.4,34,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.80'}]","[91, 117, 30, 35, 37, 216, 218]",True,362352.0,43.9,13.7,,,,,,,,,,Spain,Pedro Porro,Pass,Successful,1,FirstHalf,Back,43.9,13.7,15.0,2.80,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Spain,Portugal,2026-07-06,1998192,2946477919.0,330,34,59.0,338,43.0,14.3,34,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '30.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.73'}]","[91, 117, 30, 35, 37, 216, 218]",True,498386.0,41.4,30.1,,,,,,,,,,Spain,Pau Cubarsí,Pass,Successful,1,FirstHalf,Back,41.4,30.1,10.9,1.73,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Spain,Portugal,2026-07-06,1998192,2946477925.0,331,35,2.0,338,41.2,31.9,35,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '19.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.17'}]","[91, 117, 30, 36, 38, 216, 218]",True,303139.0,45.0,19.9,,,,,,,,,,Spain,Rodri,Pass,Successful,1,FirstHalf,Back,45.0,19.9,9.1,5.17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
