away_score,home_score,away_team,home_team,match_date,match_id,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,team,player,event,outcome,period_value,period_name,qual_Zone,qual_PassEndX,qual_PassEndY,qual_Length,qual_Angle,qual_Longball,qual_Chipped,qual_HeadPass,qual_Head,qual_ThrowIn,qual_MissLeft,qual_OppositeRelatedEvent,qual_Cross,qual_CornerTaken,qual_RightFoot,qual_Defensive,qual_StandingSave,qual_Offensive,qual_Foul,qual_FreekickTaken,qual_BoxRight,qual_LeftFoot,qual_LowLeft,qual_Blocked,qual_GoalMouthY,qual_GoalMouthZ,qual_BlockedX,qual_BlockedY,qual_ThrowinSetPiece,qual_OutfielderBlock,qual_BlockedCross,qual_LayOff,qual_KeeperThrow,qual_GoalKick,qual_PlayerCaughtOffside,qual_IndirectFreekickTaken,qual_Throughball,qual_MissRight,qual_IntentionalAssist,qual_ShotAssist,qual_BigChanceCreated,qual_KeyPass,qual_FromCorner,qual_Assisted,qual_RelatedEventId,qual_SmallBoxRight,qual_HighCentre,qual_BigChance,qual_FirstTouch,qual_ParriedSafe,qual_DivingSave,qual_Hands,qual_KeeperSaveInSixYard,qual_KeeperSaveInTheBox,qual_OutOfBoxCentre,qual_MissHigh,qual_RegularPlay,qual_HighRight,qual_AerialFoul,qual_BoxCentre,qual_LowCentre,qual_IndividualPlay,qual_FromShotOffTarget,qual_FastBreak,qual_Yellow,qual_SetPiece,qual_Collected,qual_HighLeft,qual_DeepBoxRight,qual_LeadingToAttempt,qual_LowRight,qual_KeeperSaveObox,qual_Feet,qual_PlayerPosition,qual_JerseyNumber,qual_FormationSlot,qual_IntentionalGoalAssist,qual_InvolvedPlayers,qual_TeamFormation,qual_TeamPlayerFormation,qual_CaptainPlayerId,qual_OverRun,qual_Penalty,qual_KeeperMissed,qual_PenaltyShootoutConcededGK,qual_KeeperWentWide,qual_KeeperSaved
1,1,Morocco,Netherlands,2026-06-30,1990731,2945823509.0,214,27,27.0,495,36.7,36.5,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '30.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.52'}]","[91, 117, 30, 35, 38, 215, 218]",True,317541.0,27.4,30.8,,,,,,,,,,Morocco,Brahim Díaz,Pass,Successful,1,FirstHalf,Back,27.4,30.8,10.5,3.52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,Morocco,Netherlands,2026-06-30,1990731,2945823511.0,215,27,28.0,495,28.2,31.5,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.91'}]","[91, 117, 30, 36, 37, 216, 218]",True,320834.0,35.8,46.6,,,,,,,,,,Morocco,Achraf Hakimi,Pass,Successful,1,FirstHalf,Back,35.8,46.6,13.0,0.91,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,Morocco,Netherlands,2026-06-30,1990731,2945823513.0,216,27,29.0,495,35.8,46.6,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '24.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.88'}]","[91, 118, 120, 29, 36, 38, 216, 218]",True,504830.0,38.2,24.6,,,,,,,,,,Morocco,Ayyoub Bouaddi,Pass,Unsuccessful,1,FirstHalf,Back,38.2,24.6,15.2,4.88,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,Morocco,Netherlands,2026-06-30,1990731,2945823515.0,184,27,31.0,335,61.8,75.4,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 8, 'displayName': 'Interception'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 101, 56]",True,425229.0,,,,,,,,,,,,Netherlands,Micky van de Ven,Interception,Successful,1,FirstHalf,Center,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,Morocco,Netherlands,2026-06-30,1990731,2945823517.0,217,27,32.0,495,32.8,24.1,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '69.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '60.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.88'}]","[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,320834.0,69.3,92.1,,,,,,,,,,Morocco,Achraf Hakimi,Pass,Successful,1,FirstHalf,Left,69.3,92.1,60.1,0.88,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,Morocco,Netherlands,2026-06-30,1990731,2945823519.0,218,27,37.0,495,69.3,92.1,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '82.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.36'}]","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,392361.0,67.1,82.8,,,,,,,,,,Morocco,Azzedine Ounahi,Pass,Successful,1,FirstHalf,Left,67.1,82.8,6.7,4.36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,Morocco,Netherlands,2026-06-30,1990731,2945823523.0,219,27,40.0,495,67.3,84.3,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '87.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.97'}]","[91, 119, 117, 30, 35, 37, 216, 218]",True,433572.0,57.1,87.0,,,,,,,,,,Morocco,Bilal El Khannouss,Pass,Successful,1,FirstHalf,Left,57.1,87.0,10.9,2.97,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,Morocco,Netherlands,2026-06-30,1990731,2945823525.0,220,27,43.0,495,58.0,88.0,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '70.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '95.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.36'}]","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,349932.0,70.5,95.3,,,,,,,,,,Morocco,Noussair Mazraoui,Pass,Successful,1,FirstHalf,Left,70.5,95.3,14.0,0.36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,Morocco,Netherlands,2026-06-30,1990731,2945823527.0,221,27,45.0,495,70.5,95.1,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '89.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.10'}]","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,392361.0,90.5,89.5,,,,,,,,,,Morocco,Azzedine Ounahi,Pass,Successful,1,FirstHalf,Left,90.5,89.5,21.3,6.10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,Morocco,Netherlands,2026-06-30,1990731,2945823529.0,222,27,48.0,495,91.0,89.2,27,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 72, 'displayName': 'LeftFoot'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '61.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.70'}]","[91, 138, 124, 126, 35, 38, 217, 218]",True,433572.0,90.2,0.0,,,,,,,,,,Morocco,Bilal El Khannouss,Pass,Unsuccessful,1,FirstHalf,Right,90.2,0.0,61.8,4.70,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
