away_score,home_score,away_team,home_team,match_date,match_id,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,team,player,event,outcome,period_value,period_name,qual_Zone,qual_PassEndX,qual_PassEndY,qual_Length,qual_Angle,qual_Foul,qual_OppositeRelatedEvent,qual_Offensive,qual_Defensive,qual_FreekickTaken,qual_Longball,qual_Chipped,qual_ShotAssist,qual_KeyPass,qual_RightFoot,qual_RegularPlay,qual_Assisted,qual_RelatedEventId,qual_BoxLeft,qual_LowLeft,qual_Blocked,qual_GoalMouthY,qual_GoalMouthZ,qual_BlockedX,qual_BlockedY,qual_OutfielderBlock,qual_Head,qual_BoxCentre,qual_BigChance,qual_FirstTouch,qual_MissHigh,qual_GoalKick,qual_HeadPass,qual_PlayerCaughtOffside,qual_IndirectFreekickTaken,qual_StandingSave,qual_OutOfBoxCentre,qual_MissLeft,qual_Volley,qual_ThrowIn,qual_IntentionalAssist,qual_MissRight,qual_ThrowinSetPiece,qual_Cross,qual_LeftFoot,qual_LayOff,qual_IndividualPlay,qual_BlockedCross,qual_HighLeft,qual_FastBreak,qual_BoxRight,qual_LowCentre,qual_ParriedDanger,qual_DivingSave,qual_Hands,qual_KeeperSaveInTheBox,qual_CornerTaken,qual_OverRun,qual_DirectFreekick,qual_Collected,qual_KeeperSaveObox,qual_AerialFoul,qual_KeeperThrow,qual_LeadingToAttempt,qual_HighCentre,qual_BigChanceCreated,qual_LowRight,qual_ParriedSafe,qual_PlayerPosition,qual_JerseyNumber,qual_FormationSlot,qual_HighRight,qual_FromCorner,qual_InvolvedPlayers,qual_TeamFormation,qual_TeamPlayerFormation,qual_CaptainPlayerId,qual_Throughball,qual_Yellow,qual_GoalDisallowed
0,0,Portugal,Colombia,2026-06-28,1953899,2945642785.0,122,14,14.0,340,3.1,44.6,14,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '9.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '77.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.28'}]","[91, 117, 30, 36, 37, 215, 218]",True,373842.0,9.3,77.0,,,,,,,,,Portugal,Diogo Costa,Pass,Successful,1,FirstHalf,Back,9.3,77.0,23.0,1.28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,Portugal,Colombia,2026-06-28,1953899,2945642797.0,123,14,25.0,340,41.7,51.3,14,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '62.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '5.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '38.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.32'}]","[91, 119, 117, 127, 36, 38, 216, 218]",True,434077.0,62.4,5.3,,,,,,,,,Portugal,Renato Veiga,Pass,Successful,1,FirstHalf,Right,62.4,5.3,38.1,5.32,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,Portugal,Colombia,2026-06-28,1953899,2945642799.0,124,14,29.0,340,76.5,11.1,14,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.15'}]","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,337916.0,90.9,8.2,,,,,,,,,Portugal,Pedro Neto,Pass,Successful,1,FirstHalf,Right,90.9,8.2,15.2,6.15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,Portugal,Colombia,2026-06-28,1953899,2945642805.0,125,14,31.0,340,90.6,8.2,14,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.55'}]","[91, 120, 29, 36, 37, 217, 218]",True,128967.0,90.9,32.7,,,,,,,,,Portugal,João Cancelo,Pass,Unsuccessful,1,FirstHalf,Center,90.9,32.7,16.7,1.55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,Portugal,Colombia,2026-06-28,1953899,2945642813.0,120,14,32.0,408,7.3,68.4,14,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '11.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.22'}]","[91, 117, 30, 36, 37, 215, 218]",True,363653.0,11.2,84.8,,,,,,,,,Colombia,Jhon Lucumí,Pass,Successful,1,FirstHalf,Back,11.2,84.8,11.9,1.22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,Portugal,Colombia,2026-06-28,1953899,2945666331.0,851,14,32.0,408,9.0,87.6,14,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",[],[93],False,416148.0,,,,,,,,,,,Colombia,Deiver Machado,BallRecovery,Successful,1,FirstHalf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,Portugal,Colombia,2026-06-28,1953899,2945642819.0,121,14,34.0,408,11.8,86.3,14,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '39.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '59.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '34.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.72'}]","[91, 118, 120, 128, 36, 38, 216, 218]",True,416148.0,39.6,59.0,,,,,,,,,Colombia,Deiver Machado,Pass,Unsuccessful,1,FirstHalf,Back,39.6,59.0,34.6,5.72,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,Portugal,Colombia,2026-06-28,1953899,2945642823.0,126,14,35.0,340,57.0,36.3,14,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.78'}]","[91, 119, 117, 30, 36, 37, 216, 218]",True,313171.0,63.6,46.4,,,,,,,,,Portugal,Rúben Dias,Pass,Successful,1,FirstHalf,Center,63.6,46.4,9.8,0.78,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,Portugal,Colombia,2026-06-28,1953899,2945666595.0,791,14,36.0,340,69.1,51.9,14,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",[],[93],False,384887.0,,,,,,,,,,,Portugal,Vitinha,BallRecovery,Successful,1,FirstHalf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,Portugal,Colombia,2026-06-28,1953899,2945642831.0,127,14,39.0,340,68.9,57.3,14,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '72.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '74.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.26'}]","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,384887.0,72.4,74.0,,,,,,,,,Portugal,Vitinha,Pass,Successful,1,FirstHalf,Center,72.4,74.0,11.9,1.26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
