away_score,home_score,away_team,home_team,match_date,match_id,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,cardType,isOwnGoal,team,player,event,outcome,period_value,period_name,qual_Longball,qual_Zone,qual_PassEndX,qual_PassEndY,qual_Length,qual_Angle,qual_ThrowIn,qual_HeadPass,qual_LayOff,qual_Chipped,qual_KeeperThrow,qual_OppositeRelatedEvent,qual_Offensive,qual_Defensive,qual_StandingSave,qual_MissHigh,qual_GoalKick,qual_Foul,qual_FreekickTaken,qual_Head,qual_BoxCentre,qual_SetPiece,qual_HighLeft,qual_GoalMouthY,qual_GoalMouthZ,qual_FirstTouch,qual_Cross,qual_LeftFoot,qual_RightFoot,qual_HighClaim,qual_IntentionalAssist,qual_ShotAssist,qual_KeyPass,qual_RegularPlay,qual_Assisted,qual_RelatedEventId,qual_Volley,qual_MissLeft,qual_CornerTaken,qual_FromCorner,qual_LowCentre,qual_Blocked,qual_BlockedX,qual_BlockedY,qual_OutfielderBlock,qual_OutOfBoxCentre,qual_IndividualPlay,qual_InvolvedPlayers,qual_PlayerPosition,qual_JerseyNumber,qual_TeamFormation,qual_TeamPlayerFormation,qual_CaptainPlayerId,qual_BigChanceCreated,qual_IntentionalGoalAssist,qual_SmallBoxCentre,qual_HighRight,qual_BigChance,qual_FastBreak,qual_BoxLeft,qual_LowLeft,qual_BlockedCross,qual_LeadingToAttempt,qual_MissRight,qual_LowRight,qual_OverRun,qual_ParriedSafe,qual_Feet,qual_KeeperSaveInSixYard,qual_KeeperSaveInTheBox,qual_LeadingToGoal,qual_OtherBodyPart,qual_SmallBoxRight,qual_SixYardBlock,qual_SmallBoxLeft,qual_Throughball,qual_PlayerCaughtOffside,qual_IndirectFreekickTaken,qual_FormationSlot,qual_DeepBoxRight,qual_BoxRight,qual_HighCentre,qual_OneOnOne,qual_Yellow,qual_OwnGoal
4,1,Norway,Iraq,2026-06-16,1976997,2944795035.0,7,0,25.0,2374,48.0,3.9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",[],[93],False,407877.0,,,,,,,,,,,,,Iraq,Amir Al Ammari,BallRecovery,Successful,1,FirstHalf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1,Norway,Iraq,2026-06-16,1976997,2944795037.0,8,0,26.0,2374,50.8,3.8,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '89.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.4'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '49.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.64'}]","[91, 120, 124, 128, 36, 37, 217, 218]",True,407877.0,89.0,47.4,,,,,,,,,,,Iraq,Amir Al Ammari,Pass,Unsuccessful,1,FirstHalf,True,Center,89.0,47.4,49.9,0.64,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1,Norway,Iraq,2026-06-16,1976997,2944795039.0,5,0,30.0,334,9.9,58.3,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 52, 'displayName': 'KeeperPickup'}","{'value': 1, 'displayName': 'Successful'}",[],[93],False,39187.0,,,,,,,,,,,,,Norway,Ørjan Nyland,KeeperPickup,Successful,1,FirstHalf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1,Norway,Iraq,2026-06-16,1976997,2944795045.0,6,0,33.0,334,14.4,49.0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 123, 'displayName': 'KeeperThrow'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '13.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '29.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.64'}]","[91, 35, 38, 215, 218]",True,39187.0,13.5,29.5,,,,,,,,,,,Norway,Ørjan Nyland,Pass,Successful,1,FirstHalf,False,Back,13.5,29.5,13.3,4.64,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1,Norway,Iraq,2026-06-16,1976997,2944795047.0,7,0,42.0,334,24.2,36.9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '64.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.75'}]","[91, 117, 30, 35, 37, 215, 218]",True,321085.0,21.0,64.2,,,,,,,,,,,Norway,Kristoffer Ajer,Pass,Successful,1,FirstHalf,False,Back,21.0,64.2,18.9,1.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1,Norway,Iraq,2026-06-16,1976997,2944795049.0,8,0,44.0,334,20.9,62.1,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.78'}]","[91, 117, 30, 36, 38, 215, 218]",True,364336.0,22.3,31.8,,,,,,,,,,,Norway,Torbjørn Heggem,Pass,Successful,1,FirstHalf,False,Back,22.3,31.8,20.7,4.78,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1,Norway,Iraq,2026-06-16,1976997,2944795051.0,9,0,47.0,334,22.2,32.5,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '20.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.71'}]","[91, 117, 30, 35, 37, 215, 218]",True,321085.0,20.2,54.1,,,,,,,,,,,Norway,Kristoffer Ajer,Pass,Successful,1,FirstHalf,False,Back,20.2,54.1,14.8,1.71,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1,Norway,Iraq,2026-06-16,1976997,2944795053.0,10,0,51.0,334,23.9,61.6,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '20.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '77.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.87'}]","[91, 117, 30, 35, 37, 215, 218]",True,364336.0,20.7,77.4,,,,,,,,,,,Norway,Torbjørn Heggem,Pass,Successful,1,FirstHalf,False,Back,20.7,77.4,11.3,1.87,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1,Norway,Iraq,2026-06-16,1976997,2944795055.0,11,0,53.0,334,20.5,77.4,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '18.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '72.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.17'}]","[91, 117, 30, 35, 38, 215, 218]",True,415341.0,18.4,72.0,,,,,,,,,,,Norway,David Møller Wolfe,Pass,Successful,1,FirstHalf,False,Back,18.4,72.0,4.3,4.17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1,Norway,Iraq,2026-06-16,1976997,2944795057.0,12,0,56.0,334,17.9,72.0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.84'}]","[91, 118, 120, 29, 36, 37, 216, 218]",True,364336.0,34.8,100.0,,,,,,,,,,,Norway,Torbjørn Heggem,Pass,Unsuccessful,1,FirstHalf,False,Back,34.8,100.0,26.6,0.84,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
