away_score,home_score,away_team,home_team,match_date,match_id,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,isOwnGoal,cardType,team,player,event,outcome,period_value,period_name,qual_Zone,qual_PassEndX,qual_PassEndY,qual_Length,qual_Angle,qual_Longball,qual_Head,qual_HeadPass,qual_Chipped,qual_OppositeRelatedEvent,qual_Defensive,qual_Offensive,qual_Cross,qual_LeftFoot,qual_StandingSave,qual_ShotAssist,qual_KeyPass,qual_OutOfBoxCentre,qual_RegularPlay,qual_Assisted,qual_RelatedEventId,qual_LowRight,qual_GoalMouthY,qual_GoalMouthZ,qual_BlockedX,qual_BlockedY,qual_IndividualPlay,qual_ParriedDanger,qual_DivingSave,qual_Hands,qual_KeeperSaveObox,qual_ThrowIn,qual_MissHigh,qual_GoalKick,qual_BlockedCross,qual_LayOff,qual_ParriedSafe,qual_MissLeft,qual_MissRight,qual_CornerTaken,qual_Foul,qual_FreekickTaken,qual_Throughball,qual_KeeperThrow,qual_PlayerCaughtOffside,qual_IndirectFreekickTaken,qual_LastMan,qual_RightFoot,qual_LowCentre,qual_Blocked,qual_OutfielderBlock,qual_DirectFreekick,qual_LowLeft,qual_HighRight,qual_IntentionalAssist,qual_BoxCentre,qual_FromCorner,qual_FirstTouch,qual_SmallBoxCentre,qual_OtherBodyPart,qual_OwnGoal,qual_BigChanceCreated,qual_BigChance,qual_IntentionalGoalAssist,qual_BoxRight,qual_PlayerPosition,qual_JerseyNumber,qual_FormationSlot,qual_InvolvedPlayers,qual_TeamFormation,qual_TeamPlayerFormation,qual_CaptainPlayerId,qual_FastBreak,qual_BoxLeft,qual_HighLeft,qual_Yellow,qual_Volley,qual_SetPiece,qual_HighCentre,qual_Collected,qual_KeeperSaveInTheBox
1,3,Qatar,Bosnia and Herzegovina,2026-06-24,1976990,2945362377.0,3,0,7.0,2379,29.3,35.9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 12, 'displayName': 'Clearance'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '57.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.65'}]","[91, 94, 95, 57, 216]",True,111998.0,47.9,57.6,,,,,,,,,,,Qatar,Boualem Khoukhi,Clearance,Successful,1,FirstHalf,Back,47.9,57.6,24.5,0.65,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,Qatar,Bosnia and Herzegovina,2026-06-24,1976990,2945362385.0,7,0,10.0,768,53.7,42.1,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.32'}]","[91, 120, 29, 139, 36, 37, 217, 218]",True,532323.0,68.4,49.5,,,,,,,,,,,Bosnia and Herzegovina,Arjan Malic,Pass,Unsuccessful,1,FirstHalf,Center,68.4,49.5,16.2,0.32,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,Qatar,Bosnia and Herzegovina,2026-06-24,1976990,2945362387.0,4,0,13.0,2379,27.1,52.9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 12, 'displayName': 'Clearance'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '52.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.25'}]","[91, 94, 95, 57, 215]",True,602023.0,30.9,52.7,,,,,,,,,,,Qatar,Issa Laye,Clearance,Successful,1,FirstHalf,Back,30.9,52.7,4.0,6.25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,Qatar,Bosnia and Herzegovina,2026-06-24,1976990,2945362389.0,8,0,15.0,768,65.2,45.3,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.3'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '3.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.72'}]","[91, 120, 29, 124, 36, 37, 217, 218]",True,351339.0,67.4,48.3,,,,,,,,,,,Bosnia and Herzegovina,Ermedin Demirovic,Pass,Unsuccessful,1,FirstHalf,Center,67.4,48.3,3.1,0.72,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,Qatar,Bosnia and Herzegovina,2026-06-24,1976990,2945362391.0,5,0,16.0,2379,28.5,50.8,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 61, 'displayName': 'BallTouch'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",[91],True,377214.0,,,,,,,,,,,,,Qatar,Ahmed Fathy,BallTouch,Successful,1,FirstHalf,Back,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,Qatar,Bosnia and Herzegovina,2026-06-24,1976990,2945362395.0,6,0,17.0,2379,30.4,52.9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",[],[93],False,112080.0,,,,,,,,,,,,,Qatar,Karim Boudiaf,BallRecovery,Successful,1,FirstHalf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,Qatar,Bosnia and Herzegovina,2026-06-24,1976990,2945362401.0,7,0,18.0,2379,30.4,52.9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '67.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.04'}]","[91, 117, 30, 36, 37, 216, 218]",True,112080.0,35.9,67.4,,,,,,,,,,,Qatar,Karim Boudiaf,Pass,Successful,1,FirstHalf,Back,35.9,67.4,11.4,1.04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,Qatar,Bosnia and Herzegovina,2026-06-24,1976990,2945362983.0,94,0,20.0,768,66.0,32.2,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 45, 'displayName': 'Challenge'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '73'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]",[55],False,445302.0,,,,,,,,,,,,,Bosnia and Herzegovina,Esmir Bajraktarevic,Challenge,Unsuccessful,1,FirstHalf,Center,False,False,False,False,False,False,False,False,73,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,Qatar,Bosnia and Herzegovina,2026-06-24,1976990,2945362993.0,73,0,20.0,2379,34.0,67.8,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 3, 'displayName': 'TakeOn'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '94'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 54]",True,37757.0,,,,,,,,,,,,,Qatar,Hassan Al Haydos,TakeOn,Successful,1,FirstHalf,Back,False,False,False,False,False,False,False,False,94,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,Qatar,Bosnia and Herzegovina,2026-06-24,1976990,2945362407.0,8,0,22.0,2379,37.8,75.2,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.10'}]","[91, 117, 30, 35, 37, 216, 218]",True,37757.0,34.1,84.9,,,,,,,,,,,Qatar,Hassan Al Haydos,Pass,Successful,1,FirstHalf,Back,34.1,84.9,7.7,2.10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,Qatar,Bosnia and Herzegovina,2026-06-24,1976990,2945362413.0,9,0,24.0,2379,35.6,86.7,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '96.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '64.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.25'}]","[91, 120, 128, 36, 38, 217, 218]",True,452620.0,96.9,83.7,,,,,,,,,,,Qatar,Sultan Al Brake,Pass,Unsuccessful,1,FirstHalf,Left,96.9,83.7,64.4,6.25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
